anime_id,title,synopsis,main_pic,genres,combined_text
2366,Touma Kishinden Oni,"Shuramaru is hated and feared by the villagers for his unusual powers. He thinks he is human, but... is he?  (Source: AniDB)",https://cdn.myanimelist.net/images/anime/9/82993.jpg,Supernatural,"Title: Touma Kishinden Oni; Synopsis: Shuramaru is hated and feared by the villagers for his unusual powers. He thinks he is human, but... is he?  (Source: AniDB)"
4940,Sabaku no Kaizoku! Captain Kuppa,"Sometime in the future, the world was completely dried up and became all desert. They had little rivers and lakes left, which villians and dangerous animals lived. Water has become the most valueable thing on the world. Whoever can control water will rule over the world.  (Source: ANN)",https://cdn.myanimelist.net/images/anime/9/73649.jpg,Action|Adventure,"Title: Sabaku no Kaizoku! Captain Kuppa; Synopsis: Sometime in the future, the world was completely dried up and became all desert. They had little rivers and lakes left, which villians and dangerous animals lived. Water has become the most valueable thing on the world. Whoever can control water will rule over the world.  (Source: ANN)"
50285,On Air Dekinai!,"Set in 2014, the anime follows the adventures of 23 years old Mafuneko, a newly minted assistant director who joins the TV production department at Tokyo Hajikko Television, only to discover that the glamorous and glitzy life of working behind-the-scenes making TV shows involves strange and inexplicable tasks such as ""gathering 300 acorns"" and ""making a mosaic out of the images reflected in the camera lens."" Despite being surrounded by chaos, set-backs, and weirdos, Mafuneko struggles to become a fully-fledged TV producer.  (Source: Crunchyroll, edited)",https://cdn.myanimelist.net/images/anime/1021/119155.jpg,Comedy,"Title: On Air Dekinai!; Synopsis: Set in 2014, the anime follows the adventures of 23 years old Mafuneko, a newly minted assistant director who joins the TV production department at Tokyo Hajikko Television, only to discover that the glamorous and glitzy life of working behind-the-scenes making TV shows involves strange and inexplicable tasks such as ""gathering 300 acorns"" and ""making a mosaic out of the images reflected in the camera lens."" Despite being surrounded by chaos, set-backs, and weirdos, Mafuneko struggles to become a fully-fledged TV producer.  (Source: Crunchyroll, edited)"
3975,Uchi no 3 Shimai,"The daily life of the Motsumoto family. The three sisters, Fuu, Suu, and Chii, follow what happens on a daily basis. Mother and Father have to deal with them sometimes, but they're used to it.",https://cdn.myanimelist.net/images/anime/1631/104991.jpg,Comedy|Slice of Life,"Title: Uchi no 3 Shimai; Synopsis: The daily life of the Motsumoto family. The three sisters, Fuu, Suu, and Chii, follow what happens on a daily basis. Mother and Father have to deal with them sometimes, but they're used to it."
36036,Running Man,"The Soul Tree, the great source of our race.  But for its ultimate power and by those whose minds were blinded by it, it also became the catastrophic cause that had brought never-ending wars between the tribes. Tortured by the agonies of the wars, the leaders of the tribes finally came to a peace agreement that they would instead open a competition. Players, equipped with special watches and shields, compete against each other as winner’s tribe would be awarded with Materion, the sacred fruit of the Soul Tree.  These brave players, who throw themselves in this fierce fight, we call them the Runningman.  (Source: Official YouTube Channel)",https://cdn.myanimelist.net/images/anime/1325/98783.jpg,Action|Adventure|Kids,"Title: Running Man; Synopsis: The Soul Tree, the great source of our race.  But for its ultimate power and by those whose minds were blinded by it, it also became the catastrophic cause that had brought never-ending wars between the tribes. Tortured by the agonies of the wars, the leaders of the tribes finally came to a peace agreement that they would instead open a competition. Players, equipped with special watches and shields, compete against each other as winner’s tribe would be awarded with Materion, the sacred fruit of the Soul Tree.  These brave players, who throw themselves in this fierce fight, we call them the Runningman.  (Source: Official YouTube Channel)"
41426,Watanuki-san Chi to,Second season of .,https://cdn.myanimelist.net/images/anime/1136/111640.jpg,Slice of Life,Title: Watanuki-san Chi to; Synopsis: Second season of .
49065,Shuimu Xuetang 2nd Season,.,https://cdn.myanimelist.net/images/anime/1317/115212.jpg,Comedy|Kids,Title: Shuimu Xuetang 2nd Season; Synopsis: .
48335,Canimals,.,https://cdn.myanimelist.net/images/anime/1533/114467.jpg,Comedy|Kids,Title: Canimals; Synopsis: .
30417,Panpaka Pants O-New!,Follows a pig whose family's mission is to collect underpants.,https://cdn.myanimelist.net/images/anime/8/79174.jpg,Comedy|Kids,Title: Panpaka Pants O-New!; Synopsis: Follows a pig whose family's mission is to collect underpants.
38138,Zhu Zhu Xia: Jing Qiu Xiao Yingxiong,"In honor of the 2018 World Cup, this season of GG Bond focuses on sports team competition, team spirit, and personal growth as they compete in the Meteor League.  ",https://cdn.myanimelist.net/images/anime/1773/93369.jpg,Sci-Fi|Sports|Super Power|Kids,"Title: Zhu Zhu Xia: Jing Qiu Xiao Yingxiong; Synopsis: In honor of the 2018 World Cup, this season of GG Bond focuses on sports team competition, team spirit, and personal growth as they compete in the Meteor League.  "
36506,Fuwafuwa Hour: Pui Pui & Muu Muu,"Fairies living in a fluffy forest, where both flowers and trees are fluffy. Follow a witch's trouble-maker apprentices Pui Pui and Muu Muu.",https://cdn.myanimelist.net/images/anime/12/88145.jpg,Fantasy|Kids,"Title: Fuwafuwa Hour: Pui Pui & Muu Muu; Synopsis: Fairies living in a fluffy forest, where both flowers and trees are fluffy. Follow a witch's trouble-maker apprentices Pui Pui and Muu Muu."
37787,Space Bug,"This story is about Mick, a sleeping chironomid. Insects are taken up into space for use in experiments by humans. An epic space adventure of Mick and his friends of their journey back home to Earth. The development plans and experiments are aborted by humans for no known reason, the organisms are left behind in the space station with limited resources. Going over hurdles and fighting through challenges, together, they travel across planets and gain new comrades, heading for Earth. As their journey progresses, the mystery behind the human’s abandonment unravels…  (Source: Crunchyroll)",https://cdn.myanimelist.net/images/anime/1063/94832.jpg,Adventure|Space,"Title: Space Bug; Synopsis: This story is about Mick, a sleeping chironomid. Insects are taken up into space for use in experiments by humans. An epic space adventure of Mick and his friends of their journey back home to Earth. The development plans and experiments are aborted by humans for no known reason, the organisms are left behind in the space station with limited resources. Going over hurdles and fighting through challenges, together, they travel across planets and gain new comrades, heading for Earth. As their journey progresses, the mystery behind the human’s abandonment unravels…  (Source: Crunchyroll)"
47164,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV,Fourth season of .,https://cdn.myanimelist.net/images/anime/1180/120373.jpg,Action|Adventure|Comedy|Fantasy|Romance,Title: Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV; Synopsis: Fourth season of .
